queueing.simulacion(5,5,50,[1,3,5,7,9],[2,4,6,8,10])


			Ejecucion de Modelo de Colas

    Sujeto    TiempoLlegadaACola    TiempoServicio    TiempoEntreLlegadas    TiempoEnCola    TiempoEnSistema    TiempoSalida    PersonasEnCola    TiempoOcioServicio
      14             41.19               3.0192              0.8339             10.698           13.717            54.907              4                11.545      
      15            42.516               3.9925              1.3259             12.391           16.384            58.899              5                11.545      
      16            43.035               6.0245             0.51917             15.864           21.889            64.924              6                11.545      
      17            43.409                3.239             0.37466             21.514           24.753            68.163              7                11.545      
      18             46.39               0.1242              2.9809             21.772           21.897            68.287              6                11.545      
      19            55.363               1.8006              8.9725             12.924           14.725            70.087              4                11.545      
      20            58.358                6.883              2.9953             11.729           18.612            76.971              5                11.545      
      21            64.513                5.753              6.1551             12.457            18.21            82.724              5                11.545      
      22            66.503              0.16688              1.9901              16.22           16.387             82.89              5                11.545      
      23            75.293               2.6385              8.7895             7.5976           10.236            85.529              3                11.545      
      24            81.471               7.7639               6.178             4.0582           11.822            93.293              3                11.545      
      25             83.75               5.4657              2.2795             9.5425           15.008            98.759              2                11.545      
      26            84.615               12.581             0.86452             14.144           26.724            111.34              3                11.545      
      27            84.991               4.2145             0.37593             26.348           30.563            115.55              4                11.545      
      28            95.457               4.8884              10.466             20.097           24.985            120.44              3                11.545      
      29            97.466               12.638              2.0089             22.976           35.615            133.08              4                11.545      
      30            100.84               2.9157              3.3736             32.241           35.157               136              4                11.545      
      31            105.83               1.9078              4.9894             30.167           32.075             137.9              5                11.545      
      32            107.32               2.1027              1.4907             30.585           32.687            140.01              6                11.545      
      33            107.45                8.668             0.13319             32.554           41.222            148.67              7                11.545      
      34            107.81               2.2391              0.3554             40.867           43.106            150.91              8                11.545      
      35            119.31               5.0193              11.506             31.599           36.619            155.93              7                11.545      
      36            121.24               1.5101              1.9272             34.691           36.202            157.44              7                11.545      
      37            123.75              0.17011              2.5055             33.696           33.866            157.61              8                11.545      
      38            128.19               3.6828              4.4409             29.425           33.108             161.3              9                11.545      
      39            130.65               6.9902              2.4667             30.641           37.631            168.29             10                11.545      
      40            133.01               14.667              2.3516              35.28           49.947            182.95             11                11.545      
      41            139.24              0.79532               6.235             43.712           44.507            183.75              9                11.545      
      42            139.76               9.9841             0.52053             43.987           53.971            193.73             10                11.545      
      43            140.92               4.3024               1.158             52.813           57.115            198.04             10                11.545      
      44             141.6               2.0932             0.67769             56.438           58.531            200.13             11                11.545      
      45            141.73               2.7827              0.1313               58.4           61.182            202.91             12                11.545      
      46            144.92               2.8894              3.1923              57.99           60.879             205.8             13                11.545      
      47            149.75               2.9346              4.8314             56.048           58.982            208.74             13                11.545      
      48            150.47                7.588             0.71535             58.267           65.855            216.32             14                11.545      
      49               153              0.54794              2.5302             63.325           63.873            216.87             14                11.545      
      50            164.16               7.9049              11.165             52.707           60.612            224.78             11                11.545      



			Ejecucion de Modelo de Colas

    Sujeto    TiempoLlegadaACola    TiempoServicio    TiempoEntreLlegadas    TiempoEnCola    TiempoEnSistema    TiempoSalida    PersonasEnCola    TiempoOcioServicio
    ______    __________________    ______________    ___________________    ____________    _______________    ____________    ______________    __________________

       1                 0              6.3149                    0                  0           6.3149            6.3149             0                      0      
       2            11.373              4.7817               11.373                  0           4.7817            16.155             0                 5.0584      
       3            18.775              7.6431               7.4018                  0           7.6431            26.418             0                 7.6785      
       4            19.722              3.4948              0.94657             6.6965           10.191            29.913             1                 7.6785      
       5            20.254              5.1716              0.53272             9.6586            14.83            35.085             2                 7.6785      
       6            29.188              1.5247               8.9333              5.897           7.4217            36.609             2                 7.6785      
       7            34.027              4.2722               4.8391             2.5826           6.8548            40.882             2                 7.6785      
       8            37.668              9.1116               3.6409             3.2138           12.325            49.993             1                 7.6785      
       9                39              1.3728               1.3327             10.993           12.366            51.366             2                 7.6785      
      10            41.097              5.4154                2.097             10.269           15.684            56.781             2                 7.6785      
      11            41.243              7.4986               0.1455             15.539           23.037             64.28             3                 7.6785      
      12            46.624              1.3713               5.3807             17.656           19.028            65.651             4                 7.6785      
      13            59.738              2.9534               13.115              5.913           8.8665            68.605             2                 7.6785      
      14            63.209              3.7047               3.4709             5.3955           9.1003             72.31             3                 7.6785      
      15            69.193              7.1918               5.9836             3.1167           10.308            79.501             1                 7.6785      
      16            74.625              8.5811               5.4324             4.8761           13.457            88.082             1                 7.6785      
      17            74.871              2.4839              0.24543             13.212           15.696            90.566             2                 7.6785      
      18            82.429             0.99413               7.5586              8.137           9.1312             91.56             2                 7.6785      
      19             83.24              2.2693              0.81112               8.32           10.589             93.83             3                 7.6785      
      20            85.338              4.4623               2.0972             8.4921           12.954            98.292             4                 7.6785      
      21            86.557              1.0282               1.2194             11.735           12.763             99.32             5                 7.6785      
      22            89.485              5.4017               2.9276             9.8357           15.237            104.72             5                 7.6785      
      23            98.035             0.25835               8.5501             6.6873           6.9456            104.98             3                 7.6785      
      24            105.49              6.8352               7.4518                  0           6.8352            112.32             0                 8.1847      
      25            107.06              3.4773               1.5711             5.2642           8.7415             115.8             1                 8.1847      
      26            108.56             0.62808               1.5015               7.24           7.8681            116.43             2                 8.1847      
      27            111.32              7.4484               2.7649             5.1032           12.552            123.88             3                 8.1847      
      28            111.63              13.459              0.30472             12.247           25.706            137.33             4                 8.1847      
      29            121.71             0.71896               10.083             15.622           16.341            138.05             2                 8.1847      
      30            121.97              2.7451              0.25961             16.082           18.827             140.8             3                 8.1847      
      31            126.74              2.4928                4.772             14.055           16.548            143.29             3                 8.1847      
      32            127.17              6.8958              0.42754              16.12           23.016            150.19             4                 8.1847      
      33            131.17              5.1332               3.9994             19.016            24.15            155.32             5                 8.1847      
      34            131.67             0.73594               0.4966             23.653           24.389            156.06             6                 8.1847      
      35            140.42             0.22445               8.7551             15.634           15.858            156.28             5                 8.1847      
      36            144.33             0.68718               3.9107             11.948           12.635            156.97             4                 8.1847      
      37            155.57              1.5914               11.235             1.3999           2.9913            158.56             3                 8.1847      
      38            159.67              8.9595               4.1012                  0           8.9595            168.63             0                 9.2945      
      39            162.76             0.43094               3.0937             5.8658           6.2967            169.06             1                 9.2945      
      40            163.21              2.6349              0.44681             5.8499           8.4848            171.69             2                 9.2945      
      41            166.37              2.5379               3.1641             5.3206           7.8585            174.23             3                 9.2945      
      42            170.44             0.29895               4.0697             3.7889           4.0878            174.53             2                 9.2945      
      43            184.73               2.184                14.29                  0            2.184            186.92             0                 19.497      
      44            197.03              1.3247               12.293                  0           1.3247            198.35             0                 29.606      
      45            198.18               8.038               1.1566             0.1681           8.2061            206.39             1                 29.606      
      46            201.38             0.25833               3.1947             5.0114           5.2697            206.65             1                 29.606      
      47               204             0.56544               2.6176             2.6521           3.2176            207.21             2                 29.606      
      48             218.4               4.545               14.409                  0            4.545            222.95             0                 40.797      
      49            221.28              2.7008               2.8733             1.6717           4.3725            225.65             1                 40.797      
      50             221.3              5.5623             0.025701             4.3468           9.9091            231.21             2                 40.797      



			Ejecucion de Modelo de Colas

    Sujeto    TiempoLlegadaACola    TiempoServicio    TiempoEntreLlegadas    TiempoEnCola    TiempoEnSistema    TiempoSalida    PersonasEnCola    TiempoOcioServicio
    ______    __________________    ______________    ___________________    ____________    _______________    ____________    ______________    __________________

       1                  0             3.1552                    0                   0           3.1552           3.1552             0                      0      
       2           0.014209            0.22654             0.014209               3.141           3.3675           3.3817             1                      0      
       3             18.999             2.0119               18.985                   0           2.0119           21.011             0                 15.617      
       4             40.408             2.2312               21.409                   0           2.2312            42.64             0                 35.015      
       5             41.186             2.0116              0.77731              1.4539           3.4655           44.651             1                 35.015      
       6             51.669             1.2089               10.483                   0           1.2089           52.877             0                 42.032      
       7             55.195             4.9001               3.5261                   0           4.9001           60.095             0                  44.35      
       8             55.892             10.155              0.69761              4.2025           14.357            70.25             1                  44.35      
       9             60.201             3.0601               4.3091              10.048           13.108            73.31             1                  44.35      
      10             62.328             6.5697               2.1262              10.982           17.552            79.88             2                  44.35      
      11             65.829             5.4725               3.5014               14.05           19.523           85.352             3                  44.35      
      12             68.762             2.8883               2.9333               16.59           19.478            88.24             4                  44.35      
      13             68.899             3.1742              0.13645              19.342           22.516           91.415             5                  44.35      
      14             73.738             8.7692               4.8394              17.676           26.446           100.18             4                  44.35      
      15             80.528            0.85561                 6.79              19.656           20.511           101.04             4                  44.35      
      16             83.075             1.8698               2.5471              17.964           19.834           102.91             5                  44.35      
      17             93.612             10.654               10.537               9.297           19.951           113.56             3                  44.35      
      18             97.882             3.0778               4.2701              15.681           18.759           116.64             4                  44.35      
      19             107.14             1.1452               9.2541              9.5049            10.65           117.79             2                  44.35      
      20             109.75             3.7303               2.6129              8.0371           11.767           121.52             3                  44.35      
      21             109.94             8.2041              0.19422              11.573           19.777           129.72             4                  44.35      
      22             112.38             4.9101               2.4386              17.339           22.249           134.63             5                  44.35      
      23             121.85             1.3324               9.4691               12.78           14.112           135.96             2                  44.35      
      24             130.06             1.3712               8.2121                 5.9           7.2711           137.33             2                  44.35      
      25             134.72             7.9558               4.6582              2.6129           10.569           145.29             2                  44.35      
      26             139.81            0.40145               5.0844              5.4843           5.8858           145.69             1                  44.35      
      27             160.05              4.842               20.246                   0            4.842           164.89             0                  58.71      
      28             161.47             1.8108               1.4185              3.4235           5.2343           166.71             1                  58.71      
      29             168.31             6.7143               6.8405                   0           6.7143           175.03             0                 60.316      
      30             172.02            0.77616               3.7116              3.0027           3.7789            175.8             1                 60.316      
      31             172.92             2.9975               0.8983              2.8806           5.8781            178.8             2                 60.316      
      32             175.96             3.3373               3.0379              2.8401           6.1775           182.14             1                 60.316      
      33             178.05             8.3035               2.0896              4.0879           12.391           190.44             2                 60.316      
      34              179.1             1.1897               1.0559              11.335           12.525           191.63             2                 60.316      
      35             179.17             1.6601             0.069189              12.456           14.116           193.29             3                 60.316      
      36             179.35             1.6045              0.18018              13.936            15.54           194.89             4                 60.316      
      37             181.85             3.4768               2.4964              13.044           16.521           198.37             5                 60.316      
      38             181.88             1.1441             0.033836              16.487           17.631           199.52             6                 60.316      
      39             183.44             5.4415               1.5605              16.071           21.512           204.96             6                 60.316      
      40             187.25             3.2946               3.8016               17.71           21.005           208.25             7                 60.316      
      41             208.17              1.048               20.926            0.079498           1.1275            209.3             1                 60.316      
      42             218.78             1.5655               10.607                   0           1.5655           220.34             0                 69.796      
      43             254.67              4.011               35.895                   0            4.011           258.69             0                 104.13      
      44              257.4             2.0991               2.7307              1.2804           3.3795           260.78             1                 104.13      
      45              263.7             1.3452               6.2961                   0           1.3452           265.05             0                 107.04      
      46             267.68             3.8936               3.9827                   0           3.8936           271.58             0                 109.68      
      47             281.07            0.82269               13.384                   0          0.82269           281.89             0                 119.17      
      48             281.61             10.346              0.53768             0.28502           10.631           292.24             1                 119.17      
      49             286.19             2.8247               4.5886              6.0429           8.8676           295.06             1                 119.17      
      50             304.25            0.69222               18.053                   0          0.69222           304.94             0                 128.36      



			Ejecucion de Modelo de Colas

    Sujeto    TiempoLlegadaACola    TiempoServicio    TiempoEntreLlegadas    TiempoEnCola    TiempoEnSistema    TiempoSalida    PersonasEnCola    TiempoOcioServicio
    ______    __________________    ______________    ___________________    ____________    _______________    ____________    ______________    __________________

       1                 0              1.7244                    0                   0           1.7244           1.7244             0                      0      
       2           0.34385              5.3576              0.34385              1.3805           6.7382            7.082             1                      0      
       3            9.4975              7.1849               9.1536                   0           7.1849           16.682             0                 2.4155      
       4            18.491             0.82634               8.9936                   0          0.82634           19.317             0                 4.2242      
       5            19.156              5.8279               0.6647             0.16164           5.9895           25.145             1                 4.2242      
       6            28.271               9.505               9.1149                   0            9.505           37.776             0                 7.3495      
       7            43.687              5.2076               15.417                   0           5.2076           48.895             0                 13.261      
       8            49.521              3.9539               5.8333                   0           3.9539           53.475             0                 13.887      
       9            60.455              5.7141               10.934                   0           5.7141           66.169             0                 20.867      
      10            68.826              10.971               8.3711                   0           10.971           79.797             0                 23.524      
      11            74.896               2.283               6.0698              4.9011           7.1842            82.08             1                 23.524      
      12            80.715              2.8701               5.8191              1.3651           4.2352            84.95             1                 23.524      
      13            92.364              2.9209               11.649                   0           2.9209           95.285             0                 30.938      
      14            98.203              6.4174               5.8394                   0           6.4174           104.62             0                 33.857      
      15            106.46              3.6882               8.2602                   0           3.6882           110.15             0                 35.699      
      16            112.81              4.8349               6.3456                   0           4.8349           117.64             0                 38.357      
      17            123.12             0.75467                10.31                   0          0.75467           123.87             0                 43.832      
      18            123.31              5.8341              0.18666               0.568           6.4021           129.71             1                 43.832      
      19            130.35              1.6084               7.0419                   0           1.6084           131.96             0                 44.472      
      20            132.43             0.90285               2.0806                   0          0.90285           133.33             0                 44.944      
      21             132.8             0.37822              0.36965              0.5332          0.91142           133.71             1                 44.944      
      22               134             0.86475               1.2022                   0          0.86475           134.87             0                 45.235      
      23            143.67               1.123               9.6744                   0            1.123            144.8             0                 54.045      
      24             165.8              18.561               22.121                   0           18.561           184.36             0                 75.043      
      25            175.04              2.1731               9.2445              9.3167            11.49           186.53             1                 75.043      
      26            217.33             0.78985               42.286                   0          0.78985           218.12             0                 105.84      
      27             218.9              5.7859               1.5753                   0           5.7859           224.69             0                 106.62      
      28            224.62              1.9035               5.7187            0.067242           1.9707           226.59             1                 106.62      
      29            230.67              5.1282               6.0471                   0           5.1282            235.8             0                  110.7      
      30            232.94              2.7358               2.2686              2.8595           5.5953           238.53             1                  110.7      
      31            263.91             0.51595               30.977                   0          0.51595           264.43             0                 136.08      
      32            273.52              4.4711               9.6108                   0           4.4711              278             0                 145.18      
      33            275.57              3.3892               2.0488              2.4223           5.8115           281.38             1                 145.18      
      34            283.39             0.43971               7.8175                   0          0.43971           283.83             0                 147.18      
      35            306.27              9.1166               22.879                   0           9.1166           315.39             0                 169.62      
      36            372.16              1.4818               65.894                   0           1.4818           373.65             0                  226.4      
      37             380.3              1.2187               8.1372                   0           1.2187           381.52             0                 233.06      
      38            387.45              4.6262               7.1519                   0           4.6262           392.08             0                 238.99      
      39            421.53             0.29818               34.078                   0          0.29818           421.83             0                 268.44      
      40            423.92             0.79842                2.387                   0          0.79842           424.72             0                 270.53      
      41            433.66              7.3454               9.7465                   0           7.3454           441.01             0                 279.48      
      42            437.05             0.30733               3.3902              3.9552           4.2625           441.32             1                 279.48      
      43            438.97              5.1861               1.9154              2.3471           7.5332            446.5             2                 279.48      
      44             442.8             0.62413               3.8317              3.7014           4.3256           447.13             1                 279.48      
      45            445.21              3.1988               2.4123              1.9133           5.1121           450.33             2                 279.48      
      46            445.71              3.3034               0.4924              4.6197           7.9231           453.63             3                 279.48      
      47            447.32              7.7014               1.6121               6.311           14.012           461.33             2                 279.48      
      48            450.72              7.9178                3.399              10.613           18.531           469.25             2                 279.48      
      49            460.67              6.1372               9.9566              8.5746           14.712           475.39             2                 279.48      
      50             479.6              3.6946               18.928                   0           3.6946            483.3             0                 283.69      



			Experimento Modelo de Colas

    Corrida    CantidadSujetos    TiempoLambdaEntreLlegadas    TiemposLambdaDeServicio    MediaTiempoLlegadaACola    MediaTiempoEnCola    MediaTiempoEnSistema    MediaPersonasEnCola    MediaTiempoOcioServicio
    _______    _______________    _________________________    _______________________    _______________________    _________________    ____________________    ___________________    _______________________

       1             50                       1                           4                       27.233                  82.759                 87.226                    18                         0         
       2             50                       3                           4                       82.283                    23.9                 28.164                  5.72                    10.664         
       3             50                       5                           4                       108.39                  7.3257                 11.134                   2.2                    11.753         
       4             50                       7                           4                       141.36                  7.1655                 10.697                  2.06                    57.937         
       5             50                       9                           4                       222.37                  1.3122                 5.3043                   0.5                    121.34         



			Ejecucion de Modelo de Colas

    Sujeto    TiempoLlegadaACola    TiempoServicio    TiempoEntreLlegadas    TiempoEnCola    TiempoEnSistema    TiempoSalida    PersonasEnCola    TiempoOcioServicio
    ______    __________________    ______________    ___________________    ____________    _______________    ____________    ______________    __________________

       1                 0               5.9479                    0                 0           5.9479            5.9479              0                  0         
       2            0.4493               1.5425               0.4493            5.4986            7.041            7.4903              1                  0         
       3             1.385               3.9623              0.93573            6.1053           10.068            11.453              2                  0         
       4            1.4228               4.3072             0.037773             10.03           14.337             15.76              3                  0         
       5            1.9878               19.773              0.56503            13.772           33.545            35.532              4                  0         
       6            2.8779              0.24982              0.89005            32.655           32.904            35.782              5                  0         
       7            2.9036               7.9184             0.025713            32.879           40.797            43.701              6                  0         
       8            3.9193               4.0965               1.0157            39.781           43.878            47.797              7                  0         
       9            5.8424              0.18975               1.9231            41.955           42.144            47.987              8                  0         
      10            6.0112               7.8293              0.16871            41.976           49.805            55.816              8                  0         
      11            8.6002               5.8081                2.589            47.216           53.024            61.624              8                  0         
      12            8.7072               1.1387              0.10704            52.917           54.056            62.763              9                  0         
      13            13.113               2.3854                4.406             49.65           52.035            65.148              9                  0         
      14            16.024               1.1508               2.9106            49.125           50.275            66.299              9                  0         
      15                18               1.5263               1.9766            48.299           49.825            67.826             10                  0         
      16            18.203               4.4177              0.20249            49.623            54.04            72.243             11                  0         
      17            19.106              0.14864               0.9032            53.137           53.286            72.392             12                  0         
      18            19.257               5.7749              0.15132            53.134           58.909            78.167             13                  0         
      19            19.908               4.5166              0.65055            58.259           62.775            82.683             14                  0         
      20            20.614               4.3756              0.70647            62.069           66.444            87.059             15                  0         
      21            21.763               8.7709                1.149            65.295           74.066             95.83             16                  0         
      22            25.509               6.0278               3.7453            70.321           76.349            101.86             17                  0         
      23            28.138               7.6713               2.6296            73.719            81.39            109.53             18                  0         
      24            29.166               1.9032               1.0276            80.363           82.266            111.43             19                  0         
      25            30.105               7.1353              0.93951            81.327           88.462            118.57             20                  0         
      26            30.348               8.9864              0.24289            88.219           97.206            127.55             21                  0         
      27            30.371               35.414             0.023077            97.182            132.6            162.97             22                  0         
      28            31.054              0.88161              0.68296            131.91            132.8            163.85             23                  0         
      29            31.065              0.88789             0.010862            132.78           133.67            164.74             24                  0         
      30             33.96               3.5788                2.895            130.78           134.36            168.32             25                  0         
      31            35.133               6.3021               1.1732            133.18           139.48            174.62             26                  0         
      32            35.243               1.6179              0.10919            139.38           140.99            176.24             27                  0         
      33            37.453                19.48               2.2108            138.78           158.26            195.72             26                  0         
      34            37.783                20.05              0.32936            157.93           177.98            215.77             27                  0         
      35            37.791               4.4005            0.0086079            177.97           182.37            220.17             28                  0         
      36            37.847              0.94711             0.055153            182.32           183.27            221.11             29                  0         
      37            37.927               2.1565             0.080646            183.19           185.34            223.27             30                  0         
      38            38.648               5.5871              0.72077            184.62           190.21            228.86             31                  0         
      39            40.555               5.7323               1.9071             188.3           194.03            234.59             32                  0         
      40            42.455               7.7661               1.8996            192.13            199.9            242.36             33                  0         
      41            42.789              0.20613              0.33394            199.57           199.77            242.56             34                  0         
      42             43.12               15.644              0.33117            199.44           215.09            258.21             35                  0         
      43            47.541              0.59019               4.4208            210.67           211.26             258.8             35                  0         
      44            50.583               1.5196               3.0423            208.21           209.73            260.32             34                  0         
      45            51.919               5.2761               1.3358             208.4           213.67            265.59             35                  0         
      46            52.701               1.5428              0.78191            212.89           214.43            267.13             36                  0         
      47            53.619             0.066737               0.9184            213.52           213.58             267.2             37                  0         
      48            54.198                9.043              0.57852               213           222.05            276.24             38                  0         
      49            54.819                   11              0.62097            221.43           232.43            287.24             39                  0         
      50             54.94               2.1909               0.1219             232.3           234.49            289.43             40                  0         



			Ejecucion de Modelo de Colas

    Sujeto    TiempoLlegadaACola    TiempoServicio    TiempoEntreLlegadas    TiempoEnCola    TiempoEnSistema    TiempoSalida    PersonasEnCola    TiempoOcioServicio
    ______    __________________    ______________    ___________________    ____________    _______________    ____________    ______________    __________________

       1                 0              10.029                    0                  0           10.029            10.029              0                  0         
       2            2.1051              7.4559               2.1051             7.9238            15.38            17.485              1                  0         
       3            3.4438             0.14975               1.3387             14.041           14.191            17.635              2                  0         
       4            5.8081               10.12               2.3643             11.827           21.947            27.755              3                  0         
       5            6.4916              17.801              0.68348             21.263           39.064            45.555              4                  0         
       6             7.583              7.4447               1.0914             37.972           45.417                53              5                  0         
       7            8.1946              2.0323              0.61158             44.806           46.838            55.032              6                  0         
       8            13.998              1.9409               5.8034             41.034           42.975            56.973              6                  0         
       9            14.613              4.4156              0.61528              42.36           46.776            61.389              7                  0         
      10            14.624              17.676             0.010969             46.765           64.441            79.065              8                  0         
      11            14.867              6.2359              0.24267             64.198           70.434            85.301              9                  0         
      12            15.145              6.0496              0.27789             70.156           76.206             91.35             10                  0         
      13            19.234              6.8216               4.0896             72.116           78.938            98.172              9                  0         
      14            24.153             0.99617               4.9186             74.019           75.015            99.168             10                  0         
      15            27.976              13.498               3.8233             71.192            84.69            112.67             10                  0         
      16            28.279               1.051              0.30233             84.388           85.439            113.72             11                  0         
