queueing.simulacion(5,5,50,[1,3,5,7,9],[2,4,6,8,10])


			Ejecucion de Modelo de Colas

    Sujeto    TiempoLlegadaACola    TiempoServicio    TiempoEntreLlegadas    TiempoEnCola    TiempoEnSistema    TiempoSalida    PersonasEnCola    TiempoOcioServicio
      27            75.123               4.0233              6.4334                   0           4.0233           79.146             0                 21.567      
      28            76.611               0.5946              1.4887              2.5346           3.1292           79.741             1                 21.567      
      29            81.108               2.0191              4.4964                   0           2.0191           83.127             0                 22.934      
      30            88.403             0.022819              7.2949                   0         0.022819           88.425             0                  28.21      
      31            90.356               4.3838              1.9538                   0           4.3838            94.74             0                 30.141      
      32            91.495              0.33902              1.1382              3.2456           3.5846           95.079             1                 30.141      
      33            96.227                3.164               4.732                   0            3.164           99.391             0                 31.289      
      34            96.335              0.11146             0.10867              3.0553           3.1668           99.502             1                 31.289      
      35            98.796               1.1189              2.4605             0.70624           1.8251           100.62             2                 31.289      
      36             98.89               1.1413            0.094548              1.7305           2.8718           101.76             3                 31.289      
      37            101.81               1.5784              2.9209                   0           1.5784           103.39             0                 31.338      
      38             105.2               1.4184              3.3863                   0           1.4184           106.62             0                 33.146      
      39            106.23               1.9987              1.0278             0.39064           2.3893           108.61             1                 33.146      
      40            106.28              0.92573            0.050689              2.3386           3.2644           109.54             2                 33.146      
      41            108.29               1.0426              2.0187              1.2456           2.2882           110.58             2                 33.146      
      42            108.52               2.4696             0.22255              2.0657           4.5352           113.05             3                 33.146      
      43            116.89               2.0715              8.3677                   0           2.0715           118.96             0                 36.978      
      44            118.86               1.6417              1.9754            0.096043           1.7377            120.6             1                 36.978      
      45            120.01              0.92929              1.1489             0.58882           1.5181           121.53             1                 36.978      
      46            122.14             0.037268              2.1351                   0         0.037268           122.18             0                 37.595      
      47            123.27               2.6723              1.1269                   0           2.6723           125.94             0                 38.685      
      48            123.29             0.047686            0.019933              2.6524              2.7           125.99             1                 38.685      
      49            132.28               3.2893              8.9919                   0           3.2893           135.57             0                 44.977      
      50            138.49              0.14705              6.2026                   0          0.14705           138.63             0                  47.89      



			Ejecucion de Modelo de Colas

    Sujeto    TiempoLlegadaACola    TiempoServicio    TiempoEntreLlegadas    TiempoEnCola    TiempoEnSistema    TiempoSalida    PersonasEnCola    TiempoOcioServicio
    ______    __________________    ______________    ___________________    ____________    _______________    ____________    ______________    __________________

       1                 0              0.42054                   0                  0            0.42054         0.42054             0                      0      
       2            1.1604               3.3399              1.1604                  0             3.3399          4.5004             0                0.73989      
       3            5.1815              0.39807              4.0211                  0            0.39807          5.5796             0                 1.4211      
       4            6.7719              0.22042              1.5904                  0            0.22042          6.9923             0                 2.6134      
       5            7.8871               4.1586              1.1152                  0             4.1586          12.046             0                 3.5082      
       6            17.076               6.4323              9.1886                  0             6.4323          23.508             0                 8.5382      
       7            32.614              0.64878              15.539                  0            0.64878          33.263             0                 17.645      
       8            36.178              0.35537              3.5637                  0            0.35537          36.534             0                  20.56      
       9            36.672               2.6977             0.49415                  0             2.6977           39.37             0                 20.698      
      10            37.134              0.59672             0.46152             2.2362             2.8329          39.967             1                 20.698      
      11                43               2.5416              5.8665                  0             2.5416          45.542             0                 23.732      
      12             44.18               2.3496              1.1791             1.3625              3.712          47.892             1                 23.732      
      13            48.293             0.021868              4.1136                  0           0.021868          48.315             0                 24.134      
      14            53.085               4.4284              4.7921                  0             4.4284          57.514             0                 28.904      
      15            63.197              0.27149              10.112                  0            0.27149          63.468             0                 34.587      
      16            66.716               2.9887              3.5193                  0             2.9887          69.705             0                 37.835      
      17            71.437               1.1858              4.7212                  0             1.1858          72.623             0                 39.567      
      18            74.608                6.151              3.1703                  0              6.151          80.759             0                 41.552      
      19            78.876                4.311              4.2681             1.8829             6.1939           85.07             1                 41.552      
      20            86.509              0.25388              7.6331                  0            0.25388          86.763             0                 42.991      
      21            88.134              0.36552              1.6248                  0            0.36552          88.499             0                 44.362      
      22            89.559              0.37331               1.425                  0            0.37331          89.932             0                 45.421      
      23            91.608              0.92723              2.0489                  0            0.92723          92.535             0                 47.097      
      24             100.1              0.90517              8.4962                  0            0.90517          101.01             0                 54.666      
      25            101.05               11.183             0.94208                  0             11.183          112.23             0                 54.703      
      26            103.06             0.084761              2.0169             9.1662              9.251          112.31             1                 54.703      
      27            110.35              0.41945              7.2829             1.9681             2.3875          112.73             2                 54.703      
      28            110.38               1.2636            0.037107             2.3504              3.614             114             3                 54.703      
      29            111.17               2.0026             0.78763             2.8264              4.829             116             4                 54.703      
      30            114.39               0.8595              3.2189             1.6102             2.4697          116.86             1                 54.703      
